,Feed Flow to DB,Reboiler o/l Temp,Column top Temp,Reboiling steam flow,Reflux flow,Column Top pressure,Column bottom temp,Control tay temp,C4H6 in DB bottom,C4H8 in DB bottom
Date /Time ,1145FIC1101,1150TI1107,1150TI1202,1150FIC1101,1150FIC1202,1150PIC1101,1150TI1105,1150TIC1101,1150AI14011F,1150AI14011G
,TPH,øC,øC,TPH,TPH,kg/cmýg,øC,øC,Wt%,Wt%
2023-06-27 10:00:00.000,87.84264452,34.58056654,104.4080207,23.19410531,106.9583361,4.461614239,104.1825897,58.55615783,1.56616E-05,1.125864664
2023-06-27 11:00:00.000,92.04024429,35.63860407,103.7760604,23.79514039,108.0469674,4.513245491,103.417695,59.03385901,0.056299122,1.118538879
2023-06-27 12:00:00.000,90.98223067,36.24869583,104.4428055,23.80200569,109.0874454,4.562661631,104.2204726,59.200195,0.110705788,1.340294765
2023-06-27 13:00:00.000,92.00217169,36.74919795,104.4585102,23.86624157,109.6562951,4.614283214,104.2365192,59.64780521,0.199738878,1.273196095
2023-06-27 14:00:00.000,93.58058028,37.72960354,103.9447589,23.89815244,109.9916453,4.640909846,103.8281884,59.85992333,0.254457853,1.270867945
2023-06-27 15:00:00.000,92.81982524,36.75853481,103.7562226,23.73614654,109.918588,4.565622047,103.6177246,59.39874809,0.085994251,1.336153846
2023-06-27 16:00:00.000,92.43039689,37.14761359,103.6714608,23.93407635,109.9574372,4.542871363,103.538111,59.15833009,0.159365008,1.290940888
2023-06-27 17:00:00.000,91.37582404,37.19357717,104.0570479,23.86536324,110.0046655,4.529872929,103.8676793,59.24923814,0.27103523,1.190097404
2023-06-27 18:00:00.000,92.44071949,36.68632243,103.4458614,23.99194336,109.9413157,4.562843397,103.310191,59.0802563,0.08861583,1.142203757
2023-06-27 19:00:00.000,91.94680671,36.59234528,104.3791864,24.00103376,109.9827868,4.643357384,104.2361928,59.69024155,0.092125136,1.245588832
2023-06-27 20:00:00.000,94.23100888,35.98154838,103.4793467,24.00041293,110.0066835,4.668134346,103.2237168,59.80329653,9.5459E-06,1.199774657
2023-06-27 21:00:00.000,92.24224162,35.31835913,104.3513724,23.84463528,109.9964869,4.654734467,104.2028604,59.8604049,9.5459E-06,1.378264707
2023-06-27 22:00:00.000,93.02998832,34.75459808,104.2992186,23.69792651,109.9918995,4.610733376,104.0969202,59.88953631,9.5459E-06,1.211254443
2023-06-27 23:00:00.000,92.56739124,34.25493902,103.4524486,23.88818776,109.9764516,4.580256984,103.1711101,59.31039628,9.5459E-06,1.227699147
2023-06-28 00:00:00.000,92.45233009,33.9014388,103.7884744,23.94685333,109.9955783,4.554694275,103.6952419,59.14505195,9.5459E-06,1.293256081
2023-06-28 01:00:00.000,92.19216151,33.62866326,103.4130261,23.98329177,110.004109,4.53910886,103.2844717,58.89664387,9.5459E-06,1.210378933
2023-06-28 02:00:00.000,93.79732344,33.40263634,103.104432,24.00060927,109.9863949,4.534656312,102.9991501,59.01008504,9.5459E-06,1.257507118
2023-06-28 03:00:00.000,91.39678668,33.25851983,103.6762022,23.96818547,109.544333,4.51882013,103.5910607,58.88809273,9.5459E-06,1.268922547
2023-06-28 04:00:00.000,93.17648805,33.12759386,102.6689403,24.00139947,109.9927761,4.528236128,102.5124492,58.74263708,9.5459E-06,1.138683126
2023-06-28 05:00:00.000,92.15700077,33.01545321,103.4403404,23.99752325,109.7950907,4.533150704,103.3338843,58.89583314,9.5459E-06,1.25574427
2023-06-28 06:00:00.000,93.37380772,32.88975537,103.0368925,24.00200707,109.9651123,4.537312001,102.9251005,58.94847026,9.5459E-06,1.188911468
2023-06-28 07:00:00.000,92.57433066,32.81242712,103.0913277,24.00013693,110.0009648,4.539208628,102.9099531,58.89658845,9.5459E-06,1.286307378
2023-06-28 08:00:00.000,93.07193536,32.63109873,102.6842511,23.99833982,110.0057738,4.560936351,102.4627997,58.79043475,9.5459E-06,1.325249868
